sr_no,company,typename,Inches,Cpu_brand,Cpu_name,Cpu_speed,RAM,Storage_type,Primary_Memory,Secondary_memory,Gpu_brand,Gpu_name,OS,weight,Price,Resolution_width,Resolution_height,TouchScreen
47,Asus,Gaming,17.3,AMD," Ryzen 1700 ",3.0,8,Hybrid,256,1024,AMD," Radeon RX 580",Windows,3.20,69211,1920,1080,0
48,Dell,Notebook,15.6,Intel," Core i5 7200U ",2.5,4,SSD,256,0,AMD," Radeon R5 M430",Windows,2.30,34046,1920,1080,0
49,Asus,Notebook,17.3,Intel," Pentium Quad Core N4200 ",1.1,4,HDD,1024,0,Nvidia," GeForce 920MX",Windows,2.80,24828,1366,768,0
51,Acer,Notebook,15.6,Intel," Core i7 8550U ",1.8,8,SSD,256,0,Nvidia," GeForce MX150",Windows,2.20,44808,1920,1080,0
52,HP,Notebook,15.6,AMD," A6-Series 9220 ",2.5,4,SSD,256,0,AMD," Radeon R4 Graphics",Windows,1.86,21232,1920,1080,0
53,HP,Notebook,13.3,Intel," Core i7 8550U ",1.8,8,SSD,512,0,Intel," UHD Graphics 620",Windows,1.49,58768,1920,1080,0
54,Acer,Notebook,15.6,Intel," Core i3 7100U ",2.4,4,HDD,1024,0,Intel," HD Graphics 620",Windows,2.40,20460,1366,768,0
55,Dell,Notebook,15.6,Intel," Core i7 8550U ",1.8,8,SSD,256,0,AMD," Radeon 520",Windows,2.13,40908,1920,1080,0
56,HP,Notebook,15.6,Intel," Core i3 6006U ",2.0,4,SSD,128,0,Intel," HD Graphics 520",Windows,1.91,23390,1920,1080,0
57,Asus,Notebook,15.6,Intel," Core i5 7200U ",2.5,4,SSD,256,0,Intel," HD Graphics 620",Windows,2.00,31232,1366,768,0
58,MSI,Gaming,17.3,Intel," Core i7 7700HQ ",2.8,16,Hybrid,256,2048,Nvidia," GeForce GTX 1070",Windows,2.43,130483,1920,1080,0
59,Asus,Notebook,15.6,Intel," Core i3 6006U ",2.0,4,SSD,256,0,Intel," HD Graphics 520",Linux,2.00,22111,1920,1080,0
60,Dell,Notebook,17.3,Intel," Core i7 8550U ",1.8,16,Hybrid,256,2048,AMD," Radeon 530",Windows,2.80,69211,1920,1080,0
61,Dell,Ultrabook,14.0,Intel," Core i5 8250U ",1.6,8,SSD,256,0,Intel," UHD Graphics 620",Windows,1.70,46833,1920,1080,0
62,Lenovo,Notebook,14.0,Intel," Core i3 7130U ",2.7,8,SSD,256,0,Intel," HD Graphics 620","No OS",1.70,31915,1920,1080,0
63,Asus,Notebook,14.0,Intel," Core i5 8250U ",1.6,8,SSD,256,0,Intel," UHD Graphics 620",Windows,1.40,50136,1920,1080,0
64,HP,Notebook,15.6,Intel," Core i5 7200U ",2.5,8,SSD,256,0,Intel," HD Graphics 620",Windows,1.86,36763,1920,1080,0
65,Asus,Ultrabook,15.6,Intel," Core i7 7700HQ ",2.8,16,SSD,512,0,Nvidia," GeForce GTX 1050 Ti",Windows,1.80,105654,1920,1080,0
66,HP,Notebook,15.6,Intel," Core i3 6006U ",2.0,4,HDD,500,0,AMD," Radeon 520",Windows,1.86,23373,1366,768,0
67,HP,Notebook,14.0,Intel," Celeron Dual Core N3060 ",1.6,4,SSD,32,0,Intel," HD Graphics 400",Windows,1.44,12201,1366,768,0
68,Lenovo,Notebook,15.6,Intel," Core i5 7200U ",2.5,4,HDD,1024,0,Intel," HD Graphics 620",Windows,1.90,29251,1920,1080,0
69,Asus,Gaming,17.3,Intel," Core i7 7700HQ ",2.8,12,HDD,1024,0,Nvidia," GeForce GTX 1050 Ti",Linux,3.00,50563,1920,1080,0
70,Microsoft,Ultrabook,13.5,Intel," Core i5 7200U ",2.5,4,SSD,128,0,Intel," HD Graphics 620",Windows,1.25,58022,2256,1504,1
71,Dell,Ultrabook,13.3,Intel," Core i7 8550U ",1.8,64,SSD,256,0,AMD," Radeon 530",Windows,1.40,50882,1920,1080,0
72,Dell,Notebook,15.6,Intel," Core i7 8550U ",1.8,8,SSD,256,0,AMD," Radeon 530",Windows,2.20,46354,1920,1080,0
73,MSI,Gaming,17.3,Intel," Core i5 7300HQ ",2.5,8,Hybrid,128,1024,Nvidia," GeForce GTX 1050",Windows,2.70,58342,1920,1080,0
74,Acer,Notebook,14.0,Intel," Core i3 6006U ",2.0,8,HDD,1024,0,Intel," HD Graphics 520",Windows,2.10,20726,1366,768,0
75,Asus,Gaming,15.6,Intel," Core i7 7700HQ ",2.8,8,HDD,1024,0,Nvidia," GeForce GTX 1050",Windows,2.20,50563,1920,1080,0
76,Lenovo,Notebook,15.6,Intel," Core i5 7200U ",2.5,8,HDD,2048,0,Intel," HD Graphics 620","No OS",2.20,27652,1920,1080,0
77,Dell,Notebook,15.6,Intel," Core i7 8550U ",1.8,8,Hybrid,128,1024,Intel," UHD Graphics 620",Windows,2.02,45554,1920,1080,0
78,Acer,Notebook,15.6,Intel," Core i3 7130U ",2.7,4,HDD,1024,0,Nvidia," GeForce MX130",Windows,2.20,28238,1920,1080,0
79,HP,Notebook,17.3,Intel," Core i5 8250U ",1.6,8,Hybrid,128,1024,Nvidia," GeForce 930MX",Windows,2.50,52055,1920,1080,0
80,Dell,Ultrabook,15.6,Intel," Core i5 8250U ",1.6,8,SSD,256,0,Intel," UHD Graphics 620",Windows,1.88,58403,1920,1080,0
81,Apple,Ultrabook,12.0,Intel," Core i5 ",1.3,8,SSD,512,0,Intel," HD Graphics 615",Mac,0.92,80453,2304,1440,0
82,HP,Notebook,14.0,Intel," Core i5 8250U ",1.6,8,SSD,256,0,Intel," HD Graphics 620",Windows,1.63,45821,1920,1080,0
83,Lenovo,Notebook,15.6,AMD," A6-Series 9220 ",2.5,4,SSD,128,0,AMD," R4 Graphics",Windows,2.20,21259,1920,1080,0
84,Acer,Notebook,15.6,AMD," A9-Series 9420 ",3.0,4,HDD,1024,0,AMD," Radeon R5",Windows,2.10,21046,1366,768,0
85,Dell,Gaming,15.6,Intel," Core i7 7700HQ ",2.8,16,Hybrid,128,1024,Nvidia," GeForce GTX 1050 Ti",Windows,2.65,71875,1920,1080,0
86,HP,Ultrabook,15.6,Intel," Core i7 8550U ",1.8,8,SSD,256,0,Nvidia," GeForce GTX 940MX",Windows,1.83,37243,1920,1080,0
87,HP,Notebook,15.6,Intel," Core i5 7200U ",2.5,8,SSD,256,0,Intel," HD Graphics 620",Windows,1.96,31914,1920,1080,0
88,Asus,Gaming,15.6,Intel," Core i7 7700HQ ",2.8,16,Hybrid,128,1024,Nvidia," GeForce GTX 1060",Windows,2.20,77203,1920,1080,0
89,Dell,Ultrabook,13.3,Intel," Core i7 8550U ",1.8,8,SSD,256,0,Intel," UHD Graphics 620",Windows,1.21,87859,1920,1080,0
90,Asus,Gaming,15.6,AMD," FX 9830P ",3.0,8,HDD,1024,0,AMD," Radeon RX 560",Windows,2.45,37243,1920,1080,0
91,Acer,Notebook,15.6,Intel," Core i7 8550U ",1.8,2,HDD,1024,0,Nvidia," GeForce MX150",Windows,2.20,36710,1920,1080,0
92,HP,Notebook,13.3,Intel," Core i7 8550U ",1.8,16,SSD,512,0,Intel," UHD Graphics 620",Windows,1.49,63776,1920,1080,0
93,Dell,Gaming,15.6,Intel," Core i5 7300HQ ",2.5,8,SSD,256,0,Nvidia," GeForce GTX 1060",Windows,2.65,63670,1920,1080,0
94,Asus,Ultrabook,14.0,Intel," Core i7 7500U ",2.7,8,SSD,256,0,Intel," HD Graphics 620",Windows,1.25,55891,1920,1080,0
95,Acer,"2 in 1 Convertible",13.3,Intel," Core i5 8250U ",1.6,8,SSD,256,0,Intel," UHD Graphics 620",Windows,1.50,45128,1920,1080,1
96,Dell,Notebook,15.6,Intel," Core i7 7500U ",2.7,8,HDD,1024,0,AMD," Radeon R5 M430",Linux,2.20,31963,1920,1080,0
97,Dell,Notebook,15.6,Intel," Core i3 6006U ",2.0,4,SSD,256,0,AMD," Radeon R5 M430",Linux,2.20,25841,1920,1080,0
98,Asus,Notebook,15.6,Intel," Core i3 7100U ",2.4,6,SSD,256,0,Nvidia," GeForce 920M",Windows,2.00,30743,1920,1080,0
99,HP,Gaming,15.6,Intel," Core i7 7700HQ ",2.8,12,Hybrid,128,1024,Nvidia," GeForce GTX 1050",Windows,2.62,66547,1920,1080,0
100,HP,Notebook,15.6,Intel," Core i7 7500U ",2.7,8,SSD,256,0,AMD," Radeon 530",Windows,1.91,38308,1920,1080,0
101,HP,Notebook,15.6,AMD," E-Series E2-9000e ",1.5,4,HDD,500,0,AMD," Radeon R2",Windows,2.10,18595,1920,1080,0
102,Dell,Notebook,15.6,Intel," Core i5 8250U ",1.6,8,HDD,1024,0,AMD," Radeon 520",Linux,2.20,34472,1920,1080,0
103,HP,Ultrabook,13.3,Intel," Core i7 7500U ",2.7,8,SSD,256,0,Nvidia," GeForce MX150",Windows,1.38,59620,1920,1080,0
104,Microsoft,Ultrabook,13.5,Intel," Core i5 7200U ",2.5,8,SSD,256,0,Intel," HD Graphics 620",Windows,1.25,71395,2256,1504,1
105,HP,Notebook,14.0,Intel," Core i5 7200U ",2.5,6,SSD,256,0,Nvidia," GeForce 940MX",Windows,1.58,35112,1920,1080,0
106,Lenovo,Notebook,15.6,Intel," Core i3 6006U ",2.0,4,HDD,1024,0,Intel," HD Graphics 520",Windows,1.85,22106,1920,1080,0
107,Asus,Ultrabook,14.0,Intel," Core i7 7500U ",2.7,8,SSD,256,0,Nvidia," GeForce 940MX",Windows,1.30,63563,1920,1080,0
108,MSI,Gaming,15.6,Intel," Core i7 7700HQ ",2.8,16,Hybrid,256,1024,Nvidia," GeForce GTX 1050 Ti",Windows,2.20,69211,1920,1080,0
109,Lenovo,Notebook,14.0,Intel," Core i7 7500U ",2.7,8,SSD,256,0,Intel," HD Graphics 620",Windows,1.58,78854,1920,1080,0
110,Asus,Ultrabook,15.6,Intel," Core i7 8550U ",1.8,16,Hybrid,256,1024,Nvidia," GeForce MX150",Windows,1.50,67239,1920,1080,0
111,Dell,Ultrabook,13.3,Intel," Core i7 7560U ",2.4,8,SSD,256,0,Intel," Iris Plus Graphics 640",Windows,1.23,73473,3200,1800,1
112,Lenovo,"2 in 1 Convertible",13.3,Intel," Core i5 7200U ",2.5,8,SSD,256,0,Intel," HD Graphics 620",Windows,1.37,74539,1920,1080,1
113,HP,Notebook,14.0,Intel," Core i5 8250U ",1.6,4,HDD,500,0,Intel," UHD Graphics 620",Windows,1.63,38468,1366,768,0
114,Dell,Ultrabook,13.3,Intel," Core i5 8250U ",1.6,8,SSD,256,0,Intel," UHD Graphics 620",Windows,1.21,86793,1920,1080,0
116,HP,Notebook,14.0,Intel," Core i7 8550U ",1.8,8,SSD,512,0,Intel," UHD Graphics 620",Windows,1.63,57756,1920,1080,0
117,Dell,Notebook,15.6,Intel," Core i7 8550U ",1.8,8,Hybrid,256,1024,Nvidia," GeForce 940MX",Windows,2.16,60224,1920,1080,0
118,Asus,Notebook,17.3,Intel," Core i3 6006U ",2.0,4,HDD,1024,0,Nvidia," GeForce 920MX",Windows,2.00,30050,1920,1080,0
119,Asus,Notebook,15.6,Intel," Core i7 8550U ",1.8,8,SSD,256,0,Nvidia," GeForce 940MX",Windows,1.70,59567,1920,1080,0
120,Acer,Notebook,15.6,Intel," Core i3 7100U ",2.4,6,HDD,1024,0,Intel," HD Graphics 620",Windows,2.10,25521,1920,1080,1
121,MSI,Gaming,15.6,Intel," Core i7 7700HQ ",2.8,16,Hybrid,256,2048,Nvidia," GeForce GTX 1070",Windows,1.80,119427,1920,1080,0
122,Lenovo,Notebook,15.6,Intel," Core i5 7200U ",2.5,8,SSD,256,0,Nvidia," GeForce 940MX","No OS",2.20,33513,1920,1080,0
123,HP,Notebook,17.3,Intel," Core i7 8550U ",1.8,16,SSD,512,0,Nvidia," GeForce 930MX ",Windows,2.50,67719,1920,1080,0
124,Acer,Notebook,15.6,AMD," A9-Series 9420 ",3.0,4,SSD,256,0,AMD," Radeon R5",Windows,2.10,24029,1366,768,0
126,HP,Notebook,14.0,Intel," Core i5 8250U ",1.6,8,HDD,1024,0,Intel," UHD Graphics 620",Windows,1.63,43263,1920,1080,0
127,Asus,Notebook,14.0,AMD," E-Series 6110 ",1.5,4,SSD,64,0,AMD," Radeon R2",Windows,1.65,14811,1366,768,0
128,Dell,Notebook,17.3,Intel," Core i7 8550U ",1.8,16,Hybrid,256,2048,AMD," Radeon 530",Windows,2.80,74379,1920,1080,0
129,HP,Notebook,17.3,Intel," Core i5 8250U ",1.6,8,SSD,256,0,Intel," UHD Graphics 620",Windows,2.50,49444,1920,1080,0
130,Dell,Notebook,15.6,Intel," Core i5 7200U ",2.5,8,HDD,1024,0,AMD," Radeon R7 M445",Windows,2.36,34045,1366,768,0
131,Dell,Notebook,15.6,Intel," Core i3 6006U ",2.0,4,HDD,1024,0,AMD," Radeon R5 M430",Windows,2.20,23923,1920,1080,0
132,Acer,Ultrabook,14.0,Intel," Core i7 8550U ",1.8,8,SSD,256,0,Intel," UHD Graphics 620",Windows,1.60,47100,1920,1080,0
133,Acer,Notebook,15.6,Intel," Core i3 7130U ",2.7,4,SSD,256,0,Nvidia," GeForce MX130",Windows,7.20,30476,1920,1080,0
134,HP,Notebook,15.6,Intel," Core i7 7500U ",2.7,8,HDD,1024,0,Intel," HD Graphics 620",Windows,2.05,31861,1366,768,0
135,HP,Notebook,14.0,Intel," Core i7 8550U ",1.8,8,SSD,256,0,Intel," UHD Graphics 620",Windows,1.63,52641,1920,1080,0
136,Lenovo,Notebook,15.6,Intel," Celeron Dual Core N3350 ",1.1,4,HDD,1024,0,Intel," HD Graphics 500","No OS",1.90,13446,1366,768,0
137,Asus,Gaming,17.3,Intel," Core i5 7300HQ ",2.5,8,Hybrid,128,1024,Nvidia," GeForce GTX 1050",Windows,3.00,49977,1920,1080,0
138,Lenovo,Notebook,15.6,Intel," Core i5 7200U ",2.5,4,HDD,1024,0,Nvidia," GeForce 920MX","No OS",2.20,26587,1920,1080,0
139,HP,Notebook,13.3,Intel," Core i5 7200U ",2.5,4,SSD,256,0,Intel," HD Graphics 620",Windows,1.32,37243,1920,1080,0
140,Acer,Notebook,17.3,Intel," Core i3 7130U ",2.7,4,HDD,1024,0,Nvidia," GeForce MX130",Windows,3.00,34898,1920,1080,0
141,Lenovo,Notebook,14.0,Intel," Core i5 8250U ",1.6,8,SSD,256,0,AMD," Radeon RX 550",Windows,1.75,59462,1920,1080,0
142,Lenovo,Gaming,15.6,Intel," Core i7 7700HQ ",2.8,8,SSD,256,0,Nvidia," GeForce GTX 1050M","No OS",2.40,46300,1920,1080,0
143,Toshiba,Notebook,15.6,Intel," Core i5 6200U ",2.3,4,HDD,500,0,Intel," HD Graphics 520",Windows,2.10,32075,1366,768,0
144,HP,Notebook,15.6,AMD," A6-Series 9220 ",2.5,4,SSD,256,0,AMD," Radeon R4 Graphics",Windows,1.86,19660,1366,768,0
145,Asus,Ultrabook,14.0,Intel," Core i7 8550U ",1.8,8,SSD,256,0,Intel," UHD Graphics 620",Windows,1.25,58555,1920,1080,0
146,HP,Ultrabook,12.5,Intel," Core M 6Y75 ",1.2,8,SSD,512,0,Intel," HD Graphics 515",Windows,0.97,107306,3840,2160,1
147,Asus,Notebook,15.6,Intel," Celeron Dual Core N3350 ",1.1,4,HDD,1024,0,Intel," HD Graphics 500",Windows,2.00,18328,1920,1080,0
149,Acer,Notebook,15.6,Intel," Core i3 6006U ",2.0,4,HDD,1024,0,Intel," HD Graphics 520",Windows,2.10,23816,1366,768,0
150,Dell,Gaming,15.6,Intel," Core i7 7700HQ ",2.8,16,SSD,512,0,Nvidia," GeForce GTX 1050",Windows,2.56,66561,1920,1080,0
151,Dell,Gaming,15.6,Intel," Core i7 7700HQ ",2.8,8,Hybrid,1024,0,Nvidia," GeForce GTX 1050",Windows,2.62,47899,1920,1080,0
152,Lenovo,Notebook,15.6,Intel," Core i5 7200U ",2.5,4,SSD,128,0,Intel," HD Graphics 620",Windows,1.90,26533,1366,768,0
153,MSI,Gaming,17.3,Intel," Core i7 7700HQ ",2.8,16,Hybrid,256,1024,Nvidia," GeForce GTX 1060",Windows,2.80,100699,1920,1080,0
154,HP,Ultrabook,14.0,Intel," Core i5 7500U ",2.7,4,SSD,256,0,Intel," HD Graphics 620",Windows,1.48,57649,1920,1080,0
155,HP,Notebook,15.6,Intel," Core i5 8250U ",1.6,6,SSD,256,0,AMD," Radeon 520",Windows,1.91,32980,1920,1080,0
156,Lenovo,"2 in 1 Convertible",14.0,Intel," Core i3 7100U ",2.4,4,SSD,256,0,Intel," HD Graphics 620",Windows,1.74,33513,1920,1080,1
157,Asus,"2 in 1 Convertible",13.3,Intel," Core i5 8250U ",1.6,8,SSD,256,0,Intel," HD Graphics 620",Windows,1.10,70063,1920,1080,1
158,Dell,"2 in 1 Convertible",15.6,Intel," Core i7 8550U ",1.8,8,SSD,256,0,Intel," UHD Graphics 620",Windows,1.56,55891,1920,1080,1
159,Toshiba,Notebook,15.6,Intel," Core i3 6006U ",2.2,4,HDD,500,0,Intel," HD Graphics 520",Windows,2.10,23816,1366,768,0
160,Asus,Notebook,15.6,AMD," A9-Series 9420 ",3.0,4,HDD,1024,0,AMD," Radeon R5 M420",Windows,2.03,21472,1366,768,0
161,Acer,Notebook,17.3,Intel," Core i5 8250U ",1.6,4,SSD,256,0,Nvidia," GeForce MX150",Windows,3.00,42890,1920,1080,0
162,Dell,Notebook,15.6,Intel," Core i5 8250U ",1.6,8,SSD,256,0,AMD," Radeon 520",Windows,2.13,38788,1920,1080,0
163,Lenovo,Gaming,15.6,Intel," Core i7 7700HQ ",2.8,16,SSD,256,0,Nvidia," GeForce GTX 1050 Ti",Windows,2.50,57489,1920,1080,0
164,Acer,Notebook,15.6,Intel," Celeron Dual Core N3350 ",1.1,4,HDD,1024,0,Intel," HD Graphics 500",Windows,2.10,18541,1366,768,0
165,MSI,Gaming,15.6,Intel," Core i7 7700HQ ",2.8,16,Hybrid,256,1024,Nvidia," GeForce GTX 1060",Windows,2.40,95851,1920,1080,0
166,Acer,Notebook,15.6,Intel," Pentium Quad Core N4200 ",1.1,4,HDD,1024,0,Intel," HD Graphics 505",Windows,2.10,19368,1366,768,0
167,Dell,Gaming,15.6,Intel," Core i7 7700HQ ",2.8,8,Hybrid,128,1024,Nvidia," GeForce GTX 1050",Windows,2.56,56503,1920,1080,0
168,Acer,Notebook,17.3,Intel," Core i5 8250U ",1.6,8,SSD,256,0,Nvidia," GeForce MX150",Windows,3.00,45501,1920,1080,0
169,HP,Notebook,13.3,Intel," Core i5 8250U ",1.6,4,HDD,500,0,Intel," UHD Graphics 620",Windows,1.49,40173,1920,1080,0
170,Huawei,Ultrabook,13.0,Intel," Core i5 7200U ",2.5,8,SSD,256,0,Intel," HD Graphics 620",Windows,1.05,71875,2160,1440,0
171,HP,Notebook,17.3,Intel," Core i5 7200U ",2.5,6,HDD,2048,0,AMD," Radeon 520",Windows,2.71,37243,1920,1080,0
172,Lenovo,Notebook,15.6,AMD," A6-Series 9220 ",2.9,4,HDD,500,0,AMD," Radeon R4 Graphics","No OS",2.20,16464,1366,768,0
173,Toshiba,Notebook,15.6,Intel," Core i3 7100U ",2.4,4,HDD,500,0,Intel," HD Graphics 620",Windows,5.40,26054,1366,768,0
174,HP,Notebook,17.3,Intel," Core i5 8250U ",1.6,8,SSD,256,0,Nvidia," GeForce 930MX",Windows,2.50,49177,1920,1080,0
175,Dell,Notebook,15.6,Intel," Core i3 7100U ",2.4,8,HDD,1024,0,Intel," HD Graphics 620",Windows,2.30,24456,1366,768,0
176,Acer,Notebook,15.6,Intel," Core i3 6006U ",2.0,4,SSD,128,0,Intel," HD Graphics 520",Windows,2.10,23923,1366,768,0
177,MSI,Gaming,18.4,Intel," Core i7 6920HQ ",2.9,32,Hybrid,512,1024,Nvidia," GTX 980 SLI",Windows,4.40,149131,1920,1080,0
178,Lenovo,Notebook,15.6,Intel," Core i5 7200U ",2.5,8,Hybrid,128,1024,AMD," R17M-M1-70",Windows,1.90,43317,1920,1080,0
179,HP,"2 in 1 Convertible",13.3,Intel," Core i5 8250U ",1.6,8,SSD,256,0,Intel," UHD Graphics 620",Windows,1.29,79867,3840,2160,1
180,Dell,Notebook,15.6,Intel," Core i7 8550U ",1.8,16,Hybrid,256,2048,AMD," Radeon 530",Linux,2.02,55891,1920,1080,0
181,Dell,Ultrabook,13.3,Intel," Core i5 8250U ",1.6,8,SSD,256,0,Intel," UHD Graphics 620",Windows,1.23,74539,1920,1080,0
182,Lenovo,"2 in 1 Convertible",13.9,Intel," Core i7 8550U ",1.8,16,SSD,512,0,Intel," UHD Graphics 620",Windows,1.40,98515,3840,2160,1
